1,A公司,123@acompany.com
2,A公司,purchase@acompany.com
3,A公司,qc@acompany.com
4,A公司,info@acompany.com
5,A公司,sales03@acompany.com
6,A公司,sales@hotmail.com
7,A公司,mike@gmail.com
8,B公司,wu@bltd.com.cn
9,C公司,sales@woodnice.com
10,D公司,sales01@worktech.com
11,D公司,hong@worktech.com
12,D公司,luo@worktech.com
13,D公司,443243546@gmail.com
14,E公司,164534435@qq.com
15,F公司,master@quitewell.com
16,F公司,peng_zen@puitewell.com
1,A公司,123@acompany.com
2,A公司,purchase@acompany.com
3,A公司,qc@acompany.com
4,A公司,info@acompany.com
5,A公司,sales03@acompany.com
6,A公司,sales@hotmail.com
7,A公司,mike@gmail.com
8,B公司,wu@bltd.com.cn
9,C公司,sales@woodnice.com
10,D公司,sales01@worktech.com
11,D公司,hong@worktech.com
12,D公司,luo@worktech.com
13,D公司,443243546@gmail.com
14,E公司,164534435@qq.com
15,F公司,master@quitewell.com
16,F公司,peng_zen@puitewell.com
1,A公司,123@acompany.com
2,A公司,purchase@acompany.com
3,A公司,qc@acompany.com
4,A公司,info@acompany.com
5,A公司,sales03@acompany.com
6,A公司,sales@hotmail.com
7,A公司,mike@gmail.com
8,B公司,wu@bltd.com.cn
9,C公司,sales@woodnice.com
10,D公司,sales01@worktech.com
11,D公司,hong@worktech.com
12,D公司,luo@worktech.com
13,D公司,443243546@gmail.com
14,E公司,164534435@qq.com
15,F公司,master@quitewell.com
16,F公司,peng_zen@puitewell.com
1,A公司,123@acompany.com
2,A公司,purchase@acompany.com
3,A公司,qc@acompany.com
4,A公司,info@acompany.com
5,A公司,sales03@acompany.com
6,A公司,sales@hotmail.com
7,A公司,mike@gmail.com
8,B公司,wu@bltd.com.cn
9,C公司,sales@woodnice.com
10,D公司,sales01@worktech.com
11,D公司,hong@worktech.com
12,D公司,luo@worktech.com
13,D公司,443243546@gmail.com
14,E公司,164534435@qq.com
15,F公司,master@quitewell.com
16,F公司,peng_zen@puitewell.com
1,A公司,123@acompany.com
2,A公司,purchase@acompany.com
3,A公司,qc@acompany.com
4,A公司,info@acompany.com
5,A公司,sales03@acompany.com
6,A公司,sales@hotmail.com
7,A公司,mike@gmail.com
8,B公司,wu@bltd.com.cn
9,C公司,sales@woodnice.com
10,D公司,sales01@worktech.com
11,D公司,hong@worktech.com
12,D公司,luo@worktech.com
13,D公司,443243546@gmail.com
14,E公司,164534435@qq.com
15,F公司,master@quitewell.com
16,F公司,peng_zen@puitewell.com
